KEY,English,Tiếng Việt
SSName,Solar System,Hệ mặt trời
SSInfo,Solar System,Hệ mặt trời
SunName,Sun,Mặt trời
SunInfo,Sun,Mặt trời
MercuryName,Mercury,Sao Thủy
MercuryInfo,Mercury,Sao Thủy
VenusName,Venus,Sao Kim
VenusInfo,Venus,Sao Kim
EarthName,Earth,Trái đất
EarthInfo,Earth,Trái đất
MarsName,Mars,Sao Hỏa
MarsInfo,Mars,Sao Hỏa
JupiterName,Jupiter,Sao Mộc
JupiterInfo,Jupiter,Sao Mộc
SaturnName,Saturn,Sao Thổ
SaturnInfo,Saturn,Sao Thổ
UranusName,Uranus,Sao Thiên Vương
UranusInfo,Uranus,Sao Thiên Vương
NeptuneName,Neptune,Sao Hải Vương
NeptuneInfo,Neptune,Sao Hải Vương
UniverseName,Universe,Vũ trụ
UniverseInfo,Universe,Vũ trụ
MoonName,Moon,Mặt trăng
MoonInfo,Moon,Mặt trăng
EclipseName,Eclipse,Nhật thực
EclipseInfo,Eclipse,Nhật thực
BLHoleName,Black Hole,Hố đen
BLHoleInfo,Black Hole,Hố đen
MeteoriteName,Meteorite ,Thiên thạch
MeteoriteInfo,Meteorite ,Thiên thạch
ISSName,ISS,Trạm vũ trụ ISS
ISSInfo,ISS,Trạm vũ trụ ISS
ShuttleName,Boostle&Shuttle,Tàu con thoi tên lửa đẩy
ShuttleInfo,Boostle&Shuttle,Tàu con thoi tên lửa đẩy
SatelliteName,Satellite,Vệ tinh nhân tạo
SatelliteInfo,Satellite,Vệ tinh nhân tạo
AlienName,Alienware,Người ngoài hành tinh
AlienInfo,Alienware,Người ngoài hành tinh
